Indonesia,label
"bukan soal biaya pergi naik hajinya, melainkan dengan siapa ibu harus pergi ke tanah suci.",0
Lokasinya berada di atas kursi di dalam lobi.,0
"di bidang gaya hidup dan dunia hiburan, kami memfokuskan diri pada konten, bukan pada sarana dan prasarana.",0
"kami harus berjalan berjam-jam di tengah malam dingin menggigil, gelap gulita, dan hanya dibantu cahaya kunang-kunang.",0
Saya ingin melaporkan ada orang asing di jendela saya.,0
"pemetaan singkat, pelaporan sekaligus pembersihan landasan dilakukan agar mobilisasi bantuan menjadi lebih mudah.",1
sumbangan diperoleh dari para mahasiswa ui.,0
"isinya sama sekali bukan merupakan bentuk protes terhadap kenyataan yang ada, melainkan semesta cambuk bagi diri sendiri, pengingat gerak langkah, terutama bagi diri sendiri, dan semoga diterima dengan baik oleh pembaca semua tanpa ada prasangka.",0
"dimulai dengan seleksi berkas dari setiap siswa yang ditandatangani kepala sekolah sebagai tanda keabsahan, mengikuti tes akademik, psikologi, dan wawancara, dilanjutkan dengan survei langsung ke rumah-rumah.",0
pemikiran saya sederhana: biarlah saya yang bekerja dan semua teman berhak menerima hasilnya.,0
pesan di kotak kapur!,1
sering kali saya mengajari anak-anak dan memeriksa langsung pekerjaan rumah (pr) mereka dari sekolah.,0
Pesawat kami akhirnya tiba di Honolulu.,1
Kapan bus berikutnya?,0
"dia menyatakan kalau menjadi komisaris utama tidak bisa, tetapi kalau hanya komisaris, dia sanggup karena ketika itu dia sudah terlanjur mendaftar program doktor di university of melbourne, australia.",1
"saya belajar teater tidak hanya mempelajari teknik olah tubuh atau olah vokal, tetapi juga belajar tentang hidup dan nilai-nilai kehidupan dalam arti luas.",1
dilarang masuk bagi yang tidak memiliki hak,1
"semua proses, mulai dari perundingan hingga transaksi, berlangsung tidak lebih dari tiga bulan.",0
diperkirakan ukuran jasat yang terkubur berukuran luar biasa besar.,0
"Saya ingin mengajak beberapa teman untuk makan malam pada hari Sabtu, dan apakah Anda mau bergabung dengan kami.",1
"tak kurang dari 150 jenis barang mulai dari wajan, radio,televisi, berbagai jenis kue, biskuit, gula, kopi, beras, rokok, pakaian, berbagai botol dan kaleng minuman ringan, gayung, pasta gigi, sirop, ban sepeda, tikar, tas, sabun, payung, jaket, ubi jalar, baju, ember, celana, buah mangga, kursi plastik, batu baterai, sampai beragam produk kecantikan.",0
putri pertamanya setiap minimal satu bulan sekali harus menjalani transfusi darah dan proses ini mengakibatkan penumpikan zat besi dan menjadi racun pada tubuh.,1
"ketika masih sekolah di sd, saya masih ingat betul pernah ditugaskan berjualan didepan kelas.",0
Tolong beri saya formulir telegram.,1
"kecuali beberapa hari menjelang ujian, baru saya sempatkan meminjam catatan teman-teman untuk sebentar dipelajari.",0
"lebih dari 90 persen kredit macet semua., operasional mega bank tanpa teknologi, semua mengandalkan buku-buku besar.",0
"oleh karena itu, saya mengerjakannnya all out dari pagi hingga dini hari, setiap hari tanpa libur sehari pun.",0
Tolong simpan kopor ini sampai jam lima sore. Bisa saya minta karcisnya?,1
"seraya berterima kasih ata jasa-jasa mereka yang begitu luar biasa, dulu yang pasti tidak sempat dan belum terpikir mengucapkan ini.",1
program lain yang juga terbilang sukses dan diminati penonton adalah bioskop trans tv.,0
bagaimana mungkin bahagia saat seluruh indonesia dalam nestapa banjir darah dan air mata? bagaimana mungkin?,1
Bagaimana dengan dekorasi? Apakah Anda akan mengecat kamar ini kembali ketika penyewa akan ti,0
ingat kembali apa yang sekarang kita bahas.,0
Saya tidak merasa lebih baik.,1
lalu dia melanjutkan “nah kata apa pun pada dasarnya adalah kata benda kata kerja kata sifat dan kata keterangan paham“,0
Tolong Satu Coke kecil.,0
Berapa hari yang diperlukan untuk memesan?,1
Harap cairkan cek perjalanan ini.,2
bu mus adalah seroang guru yang pandai karismatik dan memiliki pandangan jauh ke depan,0
tidak heran jika program yang kami terapkan itu kemudian dijadikan contoh untuk kegiatan mahasiswa fkg-ui selanjutnya.,1
Saya pikir saya tidak bisa banyak membantu Anda.,1
"putrinya yang pertama lahir normal pada tahun 1971, sehat seperti bayi pada umumnya.",1
dengan sendirinya teman-teman mengelompok kepada dua orang tersebut dan tidak berbaur.,1
Dia terluka parah.,2
"Tolong, bisakah Anda memberi saya air? Saya sangat haus.",0
"Saya pikir, Ada kesalahan di cek ini.",0
"saya gembira, akhir-akhir ini banyak sekali gubernur, wali kota, dan bupati datang ke kantor saya dan berbicara kurang lebih, pak chairul, ini potensi daerah kami, apa yang bisa kita lakukan bersama, kami akan mendukung penuh.",1
kemudian saya bentuk dewan kehormatan pbsi.,0
Bagaimana saya dapat membuat panggilan telepon?,0
"saat berusaha pada era pak harto, tidak sedikit yang berpendapat bahwa saya menjalankan roda usaha dengan uang abri, hanya karena ada pak rudini (almarhum) sebagai salah satu pengurus dan pemakaian nama para group yang dikaitkan dengan unsur militer.",0
"meski begitu, kami sepakat untuk benar-benar mendayagunakan kemampuan diri untuk membangun negeri.",2
Apakah Anda tahu suatu tempat di mana saya bisa meninggalkan koper saya?,0
Saya tinggal di selatan Jepang.,0
kotak khusus untuk beragam penggaris.,1
Kate. Ini Naomi. Saya sedang di kota.,0
Dapatkah saya memesan makan malam di kapal?,0
Ke New York?,2
uang sebesar itu bisa lima kali makan paket cepek meriah di warung tegal toyib.,0
pelajaran moral nomor tiga: “jika kamu cantik hidup kamu tidak tenang“,1
ilmu menyebabkan aku berani maju beberapa langkah lagi,0
Dompet saya ada di dalam tas saya.,1
Berapa lama carry over kolam itu?,2
semua mata menghunjam ke arahnya.,1
"singapura telah melanggar salah satu aturan ibf, taufik masih warga negara indonesia dan tidak diperbolehkan membela negara lain di ajang pertandingan dunia.",1
"saya sebaliknya, justru karena saya miskin, sebisa mungkin saya harus bergaul dengan banyak orang dari berbagai latar belakang keluarga.",0
Bagaimana tentang makanan India? Apakah mereka punya itu sebelumnya?,0
terdengar tawa di dalam kepalanya tawa nyaring melengking,2
pengumuman calon siswa yang lulus seleksi awal dilakukan dengan menyebarkan informasi tersebut ke setiap sekolah asal dan website ctf http://www.smactf.sch.id.,0
Saya ingin beberapa garam mandi.,2
"saya banyal belajar mengenai tata krama, sopan santun ala jawa dari anita, sementara dia mendapatkan banyak informasi mengenai berbagai usaha yang saya jalani.",0
Dan?,1
"di tengah berbagai bentuk pembenahan, pola pikir seperti ini tidak bisa dibiarkan.",1
Saya ingin melakukan reservasi untuk bermain golf.,0
Berikut adalah nomor telepon dan alamat e - mail saya.,0
Terima kasih banyak. Simpan kembaliannya.,1
nada pembukaan musik yang mengawali berita pukul tujuh mencapai telinga harry dan perutnya serasa terbalik.,0
gambar itu adalah sebuah ruangan yang sempit dikelilingi tembok tebal yang suram tinggi gelap dan berjeruji,2
Ini milik saya.,1
Saya tidak yakin apakah saya sudah mempersiapkan pakaian yang cukup untuk tiga minggu.,0
mereka menelan begitu saja semua kebohongan tolol dudley tentang minum teh dengan anggota gengnya yang berbeda,0
itu adalah kalimat bahasa indonesia yang jelas.,2
"sekolah masih dari sepanjang senin hingga sabtu, libur hanya hari minggu.",0
"Tolong, saya ingin pita mesin tulis.",0
"pak try sutrisno yang menjabat dua periode kepengurusan, 1985-1989 dan 1989-1993, berhasil meletakkan fondasi bulu tangkis indonesia.",2
Ini kartu konfirmasi saya.,2
"selain itu, makan siang disediakan.",0
Apakah tidak apa-apa kalau kita hanya makan makanan ringan?,0
"ariza tidak kehilangan akal, dia menanyakan kepada guru lain siapa kira-kira bisa berpengaruh dan didengar oleh bu lubis.",0
Mereka mendengarkan pidatonya dengan telinga terbuka.,0
mulai saat itu saya berpikir harus kembali sekolah.,0
jika kami sakit sakit apa pun: diare bengkak batuk flu atau gatal gatal langsung guru kami akan memberikan sebuah pil berwarna putih yang pahit,1
"tapi saat mencapai puncaknya, yaitu puncak bahu kiri gunung selumar, semua kelelahan itu akan terbayar.",0
"dengan tidak menganggap lainnya tidak lebih penting, di grup perusahaan kami, sektor keuangan merupakan salah satu pilar, karena mengalirkan uang, dan uang ini seperti darah dalam sebuah tubuh manusia.",2
"akhirnya setelah 23 tahun, aib ini saya buka.",0
mungkin karena ia satu satunya laki laki di antara lima saudara perempuan lainnya,0
suatu ketika pernah salah seorang mahasiswa tertangkap tangan mengonsumsi narkoba.,0
saya tidak mau menjadi aliba.,1
kadang-kadang beliau membantu pelanggan menulis dan malah membacakan surat cinta untuk para kekasih yang buta huruf.,0
"Tepat. Anda berbagi pendapat dengan kami. Omong-omong, dia bilang Anda adalah orang yang sopan dan santun.",0
lintang hanya dapat belajar setelah agak larut karena rumahnya gaduh dan berebut lampu minyak,0
pasir-pasir halus di arena terkena angin dan menjadi debu tebal yang mengaburkan pandangan.,2
"bagi saya hal ini penting karena negara kesatuan republik indonesia (nkri) merupakan harga mati tang tidak bisa ditawar-tawar lagi dan media, khususnya televisi, kontribusi besar untuk menjaga nkri.",1
para orang tua ini sama sekali tidak yakin bahwa pendidikan anaknya yang hanya mampu mereka biayai paling tinggi sampai smp akan dapat mempercerah masa depan keluarga,0
Anggaran saya adalah di bawah lima puluh dolar untuk satu malam.,0
"saya sangat terpukul, shock, dan lemas.",1
dari puncak ini tampak rumah-rumah penduduk tersusun mengikuti pola anak sungai.,0
"tetap terjerat dalam lingkaran kemiskinan seperti tetangga-tetangga saya yang lain di gang abu, jalan batutulis, jakarta.",2
"mari kita tegur ibu bumi yang murung, ambil paculmu pergilah kembali ke ladang.",2
Dapatkah saya melihat itu?,1
banyak guru dari berbagai sekolah lain berkunjung.,0
Saya ingin warna yang akan membuat saya terlihat lebih muda.,1
"disini bukan nominal upah yang saya pelajari, tapi tanggung jawab untuk melaporkan dan mengembalikan hak yang bukan milik saya sebagai sebuah pendidikan akan integrasi diri.",2
Dimana layanan penginapan Delta?,2
Saya sangat menderita karena penyakit asma.,1
"bukan bu lubis, saya kemari bukan untuk keperluan perbankan.",2
Hanya seratus dolar. Berapa nilai tukar hari ini?,0
saking lebatnya hutan itu sinar matahari tak mampu menembus permukaan tanah.,2
Apakah Anda di sini untuk bisnis atau penelitian?,0
Dia ingin bir.,0
pihak pihak yang terlibat di dalam wci luar biasa banyak dan sangat berpengaruh.,1
Saya merasa mual. Bolehkah saya mendapatkan kantong untuk muntah?,2
Ini bertentangan dengan alat-alat Hukum.,1
"sementara itu, ct global resource merupakan perusahaan induk yang fokus pada bisnis perkebunan.",2
Silakan salin pakaian Anda menjadi jubah ini.,1
Saya ingin beberapa makanan bayi.,2
"bu rini, saya punya uang nih.",1
tidak mudah untuk melakukan aktivitas sosial sekaligus tetap fokus pada kuliah di kampus serta melakukan kegiatan bisnis dalam waktu yang hampir bersamaan.,0
"dari azis-lah kemudian pada tahyn 1994 saya mulai berkenalan dengan mas adi sasono, dan mulailah kami saling bertukar pikiran.",2
"tidak ada keberhasilan tanpa kerja keras, keuletan, kegigihan, dan kedisiplinan.",1
Dimana saya dapat membeli tiket lift?,0
tekad saya sudah bulat.,1
mengalungkan sebelah tangan ke rantainya dan menatap tanah dengan tak bisa lagi bersembunyi di petak bunga keluarga dursley,0
Selama sekitar beberapa hari.,1
salah satu di antara mereka adalah prof.,1
Kami ingin membuat reservasi untuk dua untuk tour.,0
Apakah Anda melihat itu?,0
pagi itu waktu aku masih kecil aku duduk di bangku panjang di depan sebuah kelas,0
Berikut adalah lima dolar dan nol sen. Silakan simpan kembaliannya.,0
Saya ingin beberapa lobster.,0
"Tolong, makanan yang ringan saja.",0
Dompet saya telah dicuri.,1
ketika itu saya ikut memberikan kontribusi terhadap pelaksanaan pameran tersebut dan saya lihat mas yan tampak senang.,0
"anita pun sempat kaget dengan latar belakang lingkungan keluarga saya yang seperti itu, tetapi dia juga nampaknya senang karena saya berbicara jujur apa adanya.",0
Dapatkah saya mengirim telex?,0
saat itu semua mahasiswa kedokteran gigi selalu memerlukan alat praktik yang tidak sedikit.,1
"Permisi, pelayan. Bisakah Anda memberikan tagihan saya?",0
"saya sudah ingatkan dia bahwa modal usaha yang dijalankan hanya akan habis untuk membayar gaji pegawai dan pembelian bahan mentah, tapi azis terus bertahan.",0
"anita mau menerima saya apa adanya karena saya dianggap orang yang juga bekerja keras, disiplin, dan bertanggung jawab kepada keluarga.",1
"lalu ketika beralih ke usaha formal pada tahun 1987, saya tidak hanya memiliki karyawan, tetapi juga sudah mendelegasikan sebagian pekerjaan kepada sejumlah manajer.",1
"sebagai mahasiswa baru, semua menggunakan name tag di dada masing-masing dan menunggu absen.",0
membaca cepat atau scanning merupakan salah satu mata kuliah wajib.,1
Aku tak bisa melupakan hari dimana aku melihat temanku memegang pisau,2
aku merasa malu sudah bertingkah aneh seperti itu di depanmu,1
"kami pernah mempelajari fisika, isinya tentang beragam hal seperti matematika sih.",1
kebodohan berbentuk unik dan berbeda beda tergantung orang yang melihatnya,0
"Tolong, satu gelas air teh hangat, ah tidak tidak, setengah gelas saja.",0
"Tuan, apakah anda memesan kamar di hotel ini? Wah ternyata kamar tuan ada di sebelah kamar saya.",1
"hidup sudah makin dewasa, sudah jarang berkumpul dengan teman, sekarang sudah ambil jalan masing-masing.",1
Tempat bagasi barang di penerbangan ini ada di mana ya? Huh kenapa tempat ini begitu luas.,0
"aku ingat ketika menonton teater tengah malam waktu masih muda dulu, aku tak bisa menahan tawa sampai terpingkal pingkal",2
"dulu bapak sekolah itu sulit, harus cari uang spp sendiri, buat makan sendiri, pokoknya serba sulit deh.",1
"kita mungkin bisa merencanakan sesuatu, namun pada akhirnya tetap tuhanlah yang menentukan.",1
"hidup itu berat, menjaga amanah itu berat, kerja itu berat, tapi kita harus tetap tabah, karena ada keluarga yang harus kita kasih makan.",2
"kota ini sungguh terlihat begitu metropolitan, ada gedung di mana-mana, apakah aku bisa menemukan lokasi temanku jika begini.",0
empat dikali enam hasilnya berapa ya? Apa aku tanya kawanku saja ya? Atau pakai kalkulator,2
"kita kerja di suatu perusahaan itu seperti filosofi pensil, semakin dipakai semakin habis dan ketika sudah tidak bisa digunakan lagi, pensil itu akan dibuang",0
"saya mau nyalon pak, masih ada kursi tersisa ngga ya? Kalo pun ada kira-kira saya harus keluar uang berapa ya?",0
"bapak tidak perlu khawatir, yang penting bapak siapkan segini, dan semuanya akan beres.",0
"dia tak pantas hidup, dia lahir dari keluarga miskin, ayah ibunya hanya seorang petani, aku heran bagaimana mungkin makhluk seperti dia hidup berdampingan dengan kita.",0
"saat usia saya mencapai dua puluhan, ujiannya makin berat, keluarga bertanya kapan kerja, kapan nikah, kapan beli rumah, kapan punya anak, kapan punya anak lagi.",0
bintang bintang bulan lampu lampu jalan berkabut di kedua ujung jalan setapak telah lenyap,0
"aku tak henti-henti berkipas, bukan kepanasan, tapi hatiku mendidih karena takut.",2
saya akan tinggal untuk dua hari,0
"harmonisnya kami sama sekali bukan sebuah sandiwara, apalagi sekedar make up sosialita.",1
"bioskop ini lebih baru dibandingkan bioskop wira, dan letak keduanya tidak berjauhan.",0
ketiga karena anaknya memang tidak diterima di sekolah mana pun,2
lintang adalah pribadi yang unik,1
Untuk mengambil.,1
Apakah mereka punya pertunjukan langsung?,0
Apakah Anda keberatan untuk menutup jendela sedikit?,0
aku membalas dengan senyum kecut karena aku gelisah.,1
Apakah ada restoran Jepang di sekitar sini?,1
Kami ingin meja di dekat jendela.,0
"tahun 1987 saya kembali bertemu mas yan saat mas yan mengelola sebuah majalah di hotel hilton (kini hotel sultan), dan kebetulan sedang mengikuti acara bazar indonesia disana.",0
lalu secepat kilat pula dia menyelinap ke dalam rumah dan tiba tiba sudah berada di depan lintang,2
Saya ingin memastikan waktu keberangkatannya.,0
kita hanya dapat menyebutnya langit ketujuh sebagai gambaran imajiner tempat tertinggi dari yang paling tinggi,1
mahar benar-benar telah mendapatkan pendamping.,1
saya sendiri waktu itu benar-benar focus ke usaha yang tengah saya jalani.,1
beliau wafat saat saya masih duduk di kelas lima sd.,0
Saya ingin menelepon ke Tokyo.,0
saat itu rumah but us di tanah abang.,0
"tak sanggup saya gambarkan, tak mampu saya uraikan.",2
sejak itu borek tidak tertarik lagi dengan hal lain dalam hidup ini selain sesuatu sesuatu yang dapat memperbesar otonya,1
"benar, hasilnya positif mengidap talasemia mayor.",1
anita sangat memahami kalau saya sangat menikmati setiap proses dalam berbagai usaha yang saya geluti.,1
"bukan lagi empat peran, tetapi lima sekaligus.",0
"setelah sd dan smp saya disekolah swasta yang cukup ternama, sma mulai bersekolah di sma negeri 1 boedi oetomo karena ketidakmampuan ekonomi orang tua.",2
"Sekarang, panggilan Anda telah berlalu. Silakan melanjutkan.",0
mencoba menjelaskan peristiwa kemiskinan dan keterbelakangan sosial dari sebuah bangsa yang sumber alamnya begitu luar biasa.,1
"Maaf, dapatkah saya menanyakan nama hidangan Anda? itu terlihat lezat.",0
"tidak hanya antarmahasiswa, tetapi juga terdengar hingga ke telinga beberapa dosen.",1
"wajahnya kusut menanggung beban, mungkin beliau juga telah bosan bertahun-tahun selalu diremehkan.",0
kakiku mengais ngais putus asa seperti banteng bernafsu menanduk matador,2
mas yan satu almamater dengan saya.,0
"namanya bravo printing di jalan bango v, nomor 5, senen.",0
"kedua hal ini tidak bisa sekali pun saya lepaskan dalam tiap usaha dan pengembangannya, harus berjalan beriringan.",1
dia hanya samar samar menyadari bahwa paman vernon dan bibi petunia bicara.,1
Saya ingin beberapa kaus kaki.,0
bank ini merupakan bank milik swasta pertama di indonesia yang beroperasi dengan konsep syariah.,0
Yang kedua ke kiri.,0
"baru merangkak, enam tahun kemudian indonesia kembali diguncang bencana nasional lewat gempa disusul tsunami yang menewaskan ratusan ribu orang saudara kita di aceh dan sumatera utara.",2
"tanpa mereka, tidak mungkin saya akan menjadi seperti sekarang.",2
Ada sesuatu yang salah dengan lampu rem.,0
"pada saat orde baru di bawah presiden soeharto, peran dan kedudukan menteri sangat disegani.",0
Bisakah Anda menjelaskan hidangan ini kepada saya?,0
harun tersenyum lebar memamerkan gigi giginya yang kuning panjang panjang,1
Berapa banyak tagihan untuk pemrosesan?,1
"dari bengkulu, kami melakukan kerja sosial ke sejumlah kota dan kabupaten di provinsi sumatera barat.",0
Saya tidak pernah berpikir untuk pergi ke konser klasik ketika saya di Jepang.,0
"boleh jadi saya mahasiswa dari keluarga miskin, tapi cukup yakin merupakan salah satu mahasiswa paling kaya pada zamannya, setidaknya di wilayah kampus ui.",0
"beberapa kali bertemu saat dia masih kuliah dan saya bersama teman-teman meneruskan usaha di kampus serta beberapa kegiatan sosial, saat itu saya dilihat pun tidak, apalagi disuka.",1
saya minta tolong vera untuk dikenalkan dengan ayahnya.,0
maka orang orang yang sudah tidak berpakaian dan lupa diri di jalan jalan itulah gila nomor 1 dan gil yang kau buat itu di nomor 5,2
"dari dulu hingga sekarang, putri mengetahui bahwa saya seorang bapak yang bekerja keras dan menangani berbagai urusan, baik masalah bisnis di perusahaan maupun masalah kenegaraan.",0
Letakkan itu di samping jendela.,0
Mari kita mendapatkan gigitan untuk makan.,1
beberapa pentolan boedoet lulusan tahun 1981 menghubungi saya untuk bertemu membahas rencana reuni angkatan kami.,2
"seusai acara, semua menyalami saya selaku ketua harian, padahal jelas ini semua bukan semata hasil kerja saya sendiri.",2
"namun, karena belum ada jaringan pipa pdam, berjalan kaki demi mendapatkan air kami anggap tidak efektif.",2
Saya ingin mengubah tanggal ke sembilan belas Mei.,0
tidak ada lagi kedekatan pribadi selain kepada kemampuan kerja yang masing-masing memang berbeda.,1
